project_id,constituency_id,district,state,mp_name,work_category,sanctioned_amount,released_amount,expenditure_amount,sanction_date,completion_date,status,implementing_agency,contractor_name,contractor_reg_no,contractor_address,contractor_pan,latitude,longitude,completion_certificate,geo_photo_uploaded,financial_year
B-MUZ-2024-0086,BR-03,Muzaffarpur,Bihar,MP Yashoda Dada,sanitation,581651,558466,543028,2024-02-19,,ongoing,Water Supply & Sanitation Board,Brar-Mand Builders,REG-674,"33, Shan Circle, Muzaffarpur, PIN - 453939",DJTGJ6364T,26.119024,85.428544,False,False,2024-25
TN-TIR-2023-0087,TN-04,Tiruchirappalli,Tamil Nadu,MP Mekhala Atwal,drainage,1732730,1585700,1574639,2023-01-25,2022-12-18,completed,District Rural Development Agency (DRDA),Shree Ram Construction,REG-UP-001,"H.No. 40, Aggarwal Circle, Tiruchirappalli, PIN - 225001",ABCDE1234F,10.830129,78.760617,True,True,2023-24
R-JOD-2023-0088,RJ-02,Jodhpur,Rajasthan,MP Udarsh Dixit,solar,518112,492747,492617,2023-06-17,,ongoing,Zila Parishad Engineering Division,Ghosh-Sarraf Builders,REG-412,"H.No. 142
Joshi Nagar, Jodhpur, PIN - 783962",AUTAX6602Z,26.239657,72.979834,False,False,2023-24
TN-MAD-2024-0089,TN-03,Madurai,Tamil Nadu,MP Ekani Dave,drainage,1194074,1038314,948486,2024-02-13,,stalled,Public Works Department (PWD),Devan PLC Builders,REG-460,"H.No. 19
Virk Circle, Madurai, PIN - 218633",ORKWY4902J,9.923258,78.14416,False,False,2024-25
MP-GWA-2023-0090,MP-04,Gwalior,Madhya Pradesh,MP Ekbal Salvi,water,898529,789423,737678,2023-02-22,2023-05-28,completed,Rural Engineering Services (RES),"Karpe, Joshi and Krish Builders",REG-645,"H.No. 88, Chad Circle, Gwalior, PIN - 623641",PNIPE9723Q,26.165381,78.158755,True,True,2023-24
M-NAG-2023-0091,MH-02,Nagpur,Maharashtra,MP Vritti Lala,sanitation,770000,770000,754600,2023-02-24,2023-07-02,completed,Zila Parishad Engineering Division,M/s Maa Durga Infrastructure,REG-BR-442,"H.No. 410, Divan Path, Nagpur, PIN - 800001",MDUIN9988K,21.120723,79.136885,True,True,2023-24
O-PUR-2023-0092,OD-03,Puri,Odisha,MP Gaurang Radhakrishnan,solar,583095,583095,583095,2023-04-18,2023-06-24,completed,Municipal Corporation Engineering Cell,M/s Maa Durga Infrastructure,REG-BR-442,"H.No. 034, Chhabra Zila, Puri, PIN - 800001",MDUIN9988K,19.793757,85.896166,False,False,2023-24
UP-KAN-2023-0093,UP-04,Kanpur Nagar,Uttar Pradesh,MP Maanas Bhalla,water,1021684,1013282,918702,2023-12-20,2024-04-13,completed,Water Supply & Sanitation Board,Chauhan LLC Builders,REG-407,"69/45
Barman Chowk, Kanpur Nagar, PIN - 504747",QLMZY6734E,26.508185,80.254953,True,True,2023-24
WB-DAR-2023-0094,WB-03,Darjeeling,West Bengal,MP Luke Kashyap,sanitation,449547,444580,401077,2023-03-07,2023-04-06,completed,Water Supply & Sanitation Board,Kale Inc Builders,REG-971,"61/21, Talwar Circle, Darjeeling, PIN - 705048",FPEHR1799M,27.009788,88.264689,True,True,2023-24
WB-MUR-2023-0095,WB-04,Murshidabad,West Bengal,MP Samarth Mandal,water,1440000,1440000,1411200,2023-11-09,,stalled,Rural Engineering Services (RES),Royal Highway Builders,REG-RJ-551,"46/644, Puri, Murshidabad, PIN - 302001",RYHB8822P,24.131993,88.254886,False,False,2023-24
TN-CHE-2023-0096,TN-01,Chennai,Tamil Nadu,MP Gauri Kuruvilla,community_hall,2220240,1991238,1912657,2023-07-08,,ongoing,Municipal Corporation Engineering Cell,Minhas-Mangat Builders,REG-776,"H.No. 44
Kapur, Chennai, PIN - 405198",EXECF1677I,13.023784,80.295096,False,False,2023-24
TN-CHE-2024-0097,TN-01,Chennai,Tamil Nadu,MP Daksha Kadakia,building,2770717,2770717,2770717,2024-03-21,2025-03-17,completed,Water Supply & Sanitation Board,Apex Civil Enterprises,REG-MH-109,"465, Vala Circle, Chennai, PIN - 411001",APXCE7711Z,13.053516,80.331442,False,False,2024-25
MP-JAB-2024-0098,MP-03,Jabalpur,Madhya Pradesh,MP Gauri Dhar,drainage,942999,933557,865761,2024-08-24,2025-03-20,completed,Municipal Corporation Engineering Cell,"Pillay, Sani and Kar Builders",REG-669,"87
Toor Circle, Jabalpur, PIN - 120644",JAWEF7387I,23.122547,79.910592,True,True,2024-25
UP-LUC-2023-0099,UP-01,Lucknow,Uttar Pradesh,MP Urmi Bail,water,834610,785123,762512,2023-12-25,2024-03-18,completed,Public Works Department (PWD),Ravel-Brahmbhatt Builders,REG-115,"H.No. 20, Jaggi Path, Lucknow, PIN - 485644",UPHZZ5718E,26.903041,80.944831,True,True,2023-24
MP-JAB-2023-0100,MP-03,Jabalpur,Madhya Pradesh,MP Janya Kibe,building,5284921,4840420,4655060,2023-04-03,2024-03-01,completed,District Rural Development Agency (DRDA),Chopra-Chandra Builders,REG-820,"71, Loke Chowk, Jabalpur, PIN - 209807",JCRQB6774C,23.243514,79.974809,True,True,2023-24
TN-TIR-2023-0101,TN-04,Tiruchirappalli,Tamil Nadu,MP Jagdish Joshi,solar,684122,585856,585612,2023-09-04,,stalled,Municipal Corporation Engineering Cell,Sarna-Naidu Builders,REG-175,"19
Mandal Nagar, Tiruchirappalli, PIN - 468411",UPTFL7002D,10.773798,78.742327,False,False,2023-24
R-JAI-2024-0102,RJ-01,Jaipur,Rajasthan,MP Mugdha Chander,sanitation,514517,441549,420220,2024-08-06,2024-09-05,completed,Water Supply & Sanitation Board,Venkatesh-Kale Builders,REG-553,"457, Basak Zila, Jaipur, PIN - 337797",DNAQL7614V,26.965183,75.779572,True,True,2024-25
MP-IND-2024-0103,MP-02,Indore,Madhya Pradesh,MP Harsh Chandra,drainage,1561427,1494121,1374879,2024-08-01,,ongoing,Water Supply & Sanitation Board,Comar LLC Builders,REG-879,"H.No. 428, Shankar Chowk, Indore, PIN - 507542",PRCLW1234K,22.679613,75.888375,False,False,2024-25
R-BIK-2024-0104,RJ-05,Bikaner,Rajasthan,MP Yashawini Doshi,road,1414541,1236287,1180696,2024-12-26,2025-08-03,completed,Water Supply & Sanitation Board,Shree Ram Construction,REG-UP-001,"H.No. 66, Chaudhry Circle, Bikaner, PIN - 225001",ABCDE1234F,28.08886,73.322379,True,True,2024-25
R-JAI-2024-0105,RJ-01,Jaipur,Rajasthan,MP Balendra Sama,water,1187915,1180864,1063194,2024-05-21,2024-10-15,completed,Municipal Corporation Engineering Cell,"Rao, Walla and Mall Builders",REG-422,"696, Narang Nagar, Jaipur, PIN - 332955",ITBVU4095W,26.905783,75.844166,True,True,2024-25
WB-KOL-2024-0106,WB-01,Kolkata,West Bengal,MP Watika Lala,drainage,1067771,995270,957426,2024-02-20,2024-01-10,completed,Water Supply & Sanitation Board,Surya Dev Projects Ltd,REG-MP-883,"07/86, Narayanan Marg, Kolkata, PIN - 462001",SDPL4433Q,22.500427,88.307621,False,False,2024-25
R-JAI-2023-0107,RJ-01,Jaipur,Rajasthan,MP Avi Baria,water,862462,820040,788147,2023-01-04,2022-12-11,completed,Rural Engineering Services (RES),Apex Civil Enterprises,REG-MH-109,"H.No. 44
Menon Marg, Jaipur, PIN - 411001",APXCE7711Z,26.958369,75.735687,False,False,2023-24
R-BIK-2023-0108,RJ-05,Bikaner,Rajasthan,MP Aarna Buch,drainage,2160000,2160000,2116800,2023-07-27,2023-11-30,completed,Water Supply & Sanitation Board,Surya Dev Projects Ltd,REG-MP-883,"H.No. 950
Korpal Road, Bikaner, PIN - 462001",SDPL4433Q,28.027228,73.315843,True,True,2023-24
O-CUT-2023-0109,OD-02,Cuttack,Odisha,MP Nimrat Raj,community_hall,1204090,1201611,1115958,2023-08-24,,stalled,Municipal Corporation Engineering Cell,"Kothari, Dani and Ganesh Builders",REG-838,"783
Dhaliwal, Cuttack, PIN - 396741",HYZUS6445Z,20.424046,85.894823,False,False,2023-24
WB-DAR-2023-0110,WB-03,Darjeeling,West Bengal,MP Finn Jayaraman,sanitation,200000,200000,200000,2023-10-08,2023-11-15,completed,Rural Engineering Services (RES),Apex Civil Enterprises,REG-MH-109,"H.No. 561
Purohit Nagar, Darjeeling, PIN - 411001",APXCE7711Z,27.08893,88.346138,False,False,2023-24
TN-MAD-2023-0111,TN-03,Madurai,Tamil Nadu,MP Harsh Ramesh,sanitation,527539,510936,475567,2023-01-21,,stalled,Water Supply & Sanitation Board,Dutt-Lalla Builders,REG-528,"H.No. 678, Hans Road, Madurai, PIN - 671527",TRCIO9558Q,9.897028,78.040781,False,False,2023-24
M-AUR-2024-0112,MH-05,Aurangabad,Maharashtra,MP Unni Ravel,water,1440000,1440000,1411200,2024-11-16,,ongoing,Rural Engineering Services (RES),Surya Dev Projects Ltd,REG-MP-883,"44/232, Magar Chowk, Aurangabad, PIN - 462001",SDPL4433Q,19.939549,75.337295,False,False,2024-25
R-JAI-2024-0113,RJ-01,Jaipur,Rajasthan,MP Girish Agarwal,solar,623101,560640,555941,2024-09-18,2025-01-25,completed,District Rural Development Agency (DRDA),"Tata, Chhabra and Hegde Builders",REG-836,"078
Sarkar Marg, Jaipur, PIN - 813204",LZDXE0458V,26.987538,75.752174,True,True,2024-25
M-THA-2023-0114,MH-04,Thane,Maharashtra,MP Chasmum Divan,solar,488311,488311,488311,2023-05-23,2023-09-19,completed,Public Works Department (PWD),Shree Ram Construction,REG-UP-001,"H.No. 18, Pant Marg, Thane, PIN - 225001",ABCDE1234F,19.210605,73.050216,True,True,2023-24
MP-UJJ-2023-0115,MP-05,Ujjain,Madhya Pradesh,MP Riya Karnik,solar,712672,657454,649162,2023-08-17,2023-11-30,completed,Municipal Corporation Engineering Cell,"Deshmukh, Sem and Sem Builders",REG-906,"H.No. 163
Chad Ganj, Ujjain, PIN - 629447",GTWAX4890M,23.119427,75.847988,True,True,2023-24
TN-CHE-2023-0116,TN-01,Chennai,Tamil Nadu,MP Ekta Mani,road,1004193,1004193,1004193,2023-05-02,2023-10-13,completed,Zila Parishad Engineering Division,Apex Civil Enterprises,REG-MH-109,"10
Handa Road, Chennai, PIN - 411001",APXCE7711Z,13.085992,80.296137,False,False,2023-24
K-MAN-2024-0117,KA-04,Mangaluru,Karnataka,MP Timothy Mani,building,4460309,4308293,4166603,2024-04-07,2025-01-23,completed,Municipal Corporation Engineering Cell,"Dayal, Dara and Lal Builders",REG-519,"43
Chand Road, Mangaluru, PIN - 796587",ZDZIC8090E,12.859299,74.794314,True,True,2024-25
O-KHO-2024-0118,OD-01,Khordha,Odisha,MP Nimrat Kara,sanitation,526024,526024,526024,2024-10-08,2024-12-19,completed,District Rural Development Agency (DRDA),Shree Ram Construction,REG-UP-001,"877, Grewal Path, Khordha, PIN - 225001",ABCDE1234F,20.105839,85.682327,False,False,2024-25
UP-GOR-2024-0119,UP-07,Gorakhpur,Uttar Pradesh,MP Wyatt Golla,drainage,971636,947759,919266,2024-03-23,2024-02-18,completed,Water Supply & Sanitation Board,Surya Dev Projects Ltd,REG-MP-883,"H.No. 83
Mishra Path, Gorakhpur, PIN - 462001",SDPL4433Q,26.730591,83.423991,False,False,2024-25
M-PUN-2024-0120,MH-01,Pune,Maharashtra,MP Bhanumati Kamdar,road,2034305,1963051,1859116,2024-02-15,2024-07-28,completed,Zila Parishad Engineering Division,Ahuja Group Builders,REG-693,"05, Barman Circle, Pune, PIN - 801998",WHUKY5822S,18.578175,73.875411,True,True,2024-25
WB-KOL-2023-0121,WB-01,Kolkata,West Bengal,MP Imaran Tella,drainage,1423006,1390084,1290311,2023-02-16,2023-08-10,completed,Water Supply & Sanitation Board,Ghosh-Sarraf Builders,REG-412,"92/88
Deep Zila, Kolkata, PIN - 783962",AUTAX6602Z,22.512983,88.300369,True,True,2023-24
MP-IND-2024-0122,MP-02,Indore,Madhya Pradesh,MP Rushil Dave,solar,688211,634775,575490,2024-04-20,2024-07-19,completed,Zila Parishad Engineering Division,Khalsa and Sons Builders,REG-412,"H.No. 44, Kar Road, Indore, PIN - 232629",JLERU9563H,22.76509,75.847357,True,True,2024-25
TN-TIR-2024-0123,TN-04,Tiruchirappalli,Tamil Nadu,MP William Nair,sanitation,399634,345542,326371,2024-02-19,2024-03-28,completed,Municipal Corporation Engineering Cell,Narasimhan Inc Builders,REG-935,"29
Desai Nagar, Tiruchirappalli, PIN - 792661",QLDAK8384N,10.721637,78.642099,True,True,2024-25
A-DIB-2023-0124,AS-02,Dibrugarh,Assam,MP Lila Prabhakar,building,4293869,3900968,3736320,2023-03-22,2024-02-06,completed,Municipal Corporation Engineering Cell,"Comar, Brahmbhatt and Tata Builders",REG-150,"92, Kadakia Nagar, Dibrugarh, PIN - 816707",KIJSU5001T,27.501843,94.882656,True,True,2023-24
R-UDA-2023-0125,RJ-04,Udaipur,Rajasthan,MP Varsha More,road,1618325,1618325,1618325,2023-10-17,2024-04-01,completed,Zila Parishad Engineering Division,Apex Civil Enterprises,REG-MH-109,"69
Thakur Chowk, Udaipur, PIN - 411001",APXCE7711Z,24.505535,73.722105,False,False,2023-24
UP-LUC-2024-0126,UP-01,Lucknow,Uttar Pradesh,MP Veer Babu,building,3931629,3567632,3346997,2024-12-19,,stalled,Public Works Department (PWD),Karan-Mody Builders,REG-982,"79/22
Shankar Zila, Lucknow, PIN - 154357",DMLDN2563M,26.872698,80.942179,False,False,2024-25
G-SUR-2023-0127,GJ-02,Surat,Gujarat,MP Aditya Dugar,building,3141761,3087513,2981897,2023-01-03,2023-10-20,completed,Rural Engineering Services (RES),Sarna-Bhakta Builders,REG-489,"H.No. 24, Dara Road, Surat, PIN - 610149",IMBVK7908S,21.112155,72.880051,True,True,2023-24
MP-GWA-2024-0128,MP-04,Gwalior,Madhya Pradesh,MP Yashawini Dugal,solar,755919,643373,611085,2024-07-12,2024-10-14,completed,Municipal Corporation Engineering Cell,Narayanan Group Builders,REG-192,"H.No. 24, Rastogi Path, Gwalior, PIN - 275271",CCLID3744D,26.18138,78.25105,True,True,2024-25
WB-HOW-2023-0129,WB-02,Howrah,West Bengal,MP David Chandra,community_hall,791802,789862,772395,2023-03-24,,ongoing,District Rural Development Agency (DRDA),"Palan, Tak and Gade Builders",REG-698,"34/87
Purohit, Howrah, PIN - 354068",KEIFX7095Y,22.528318,88.325986,False,False,2023-24
TN-COI-2024-0130,TN-02,Coimbatore,Tamil Nadu,MP Ganga Varma,sanitation,770000,770000,754600,2024-10-02,,ongoing,Zila Parishad Engineering Division,Surya Dev Projects Ltd,REG-MP-883,"30
Narula Path, Coimbatore, PIN - 462001",SDPL4433Q,11.05421,76.943163,False,False,2024-25
O-PUR-2024-0131,OD-03,Puri,Odisha,MP Baljiwan Batta,water,820430,820430,820430,2024-01-21,2024-05-01,completed,Municipal Corporation Engineering Cell,Apex Civil Enterprises,REG-MH-109,"H.No. 975, Kashyap Nagar, Puri, PIN - 411001",APXCE7711Z,19.779391,85.764402,False,False,2024-25
B-MUZ-2024-0132,BR-03,Muzaffarpur,Bihar,MP Hitesh Patel,building,486382,486382,486382,2024-05-28,2025-03-21,completed,Water Supply & Sanitation Board,M/s Maa Durga Infrastructure,REG-BR-442,"H.No. 10
Gupta Ganj, Muzaffarpur, PIN - 800001",MDUIN9988K,26.100063,85.312764,True,True,2024-25
K-MYS-2023-0133,KA-02,Mysuru,Karnataka,MP Zashil Sura,sanitation,443088,392439,370469,2023-08-25,2023-12-14,completed,District Rural Development Agency (DRDA),Dani Ltd Builders,REG-396,"H.No. 286, Patil Street, Mysuru, PIN - 454061",MRBKP0321I,12.308241,76.694093,True,True,2023-24
R-JAI-2023-0134,RJ-01,Jaipur,Rajasthan,MP Laksh Gera,drainage,872796,760879,751008,2023-07-22,2023-12-09,completed,Water Supply & Sanitation Board,"Sampath, Aurora and Nagy Builders",REG-889,"653, Halder Street, Jaipur, PIN - 714788",ERSPV5800U,26.980756,75.779111,True,True,2023-24
R-UDA-2024-0135,RJ-04,Udaipur,Rajasthan,MP Ryan Kapur,sanitation,379813,338057,307573,2024-10-21,,stalled,Public Works Department (PWD),Prabhakar-Munshi Builders,REG-863,"H.No. 55, Mann Path, Udaipur, PIN - 472659",GVKXI7197Q,24.579177,73.740547,False,False,2024-25
M-THA-2023-0136,MH-04,Thane,Maharashtra,MP Maya Dewan,water,772970,772970,772970,2023-11-01,2024-03-02,completed,Public Works Department (PWD),Surya Dev Projects Ltd,REG-MP-883,"71
Ramesh Nagar, Thane, PIN - 462001",SDPL4433Q,19.173407,72.943428,False,False,2023-24
UP-GOR-2023-0137,UP-07,Gorakhpur,Uttar Pradesh,MP Pahal Bhagat,road,2197146,1896044,1821090,2023-10-21,,ongoing,District Rural Development Agency (DRDA),Dass and Sons Builders,REG-858,"H.No. 296, Sastry Path, Gorakhpur, PIN - 617993",DZLVH4612N,26.809112,83.322763,False,False,2023-24
B-BHA-2024-0138,BR-04,Bhagalpur,Bihar,MP Advika Kata,sanitation,362294,316751,287419,2024-12-22,2025-02-23,completed,Zila Parishad Engineering Division,Chana-Kunda Builders,REG-914,"29/78
Venkataraman Street, Bhagalpur, PIN - 526176",RUXCC1158I,25.224674,87.063553,True,True,2024-25
K-DHA-2023-0139,KA-03,Dharwad,Karnataka,MP Raksha Nagi,drainage,1435666,1435666,1435666,2023-11-16,2024-05-13,completed,District Rural Development Agency (DRDA),National Infra Conclave,REG-DL-990,"383
Chander Nagar, Dharwad, PIN - 110001",NATIN3322R,15.493364,74.944326,False,False,2023-24
B-MUZ-2024-0140,BR-03,Muzaffarpur,Bihar,MP Ikbal Sabharwal,sanitation,565088,565088,565088,2024-01-16,2024-04-10,completed,Municipal Corporation Engineering Cell,National Infra Conclave,REG-DL-990,"H.No. 07
Chana Street, Muzaffarpur, PIN - 110001",NATIN3322R,26.152909,85.429439,False,False,2024-25
T-WAR-2024-0141,TS-02,Warangal,Telangana,MP Sai Chaudhari,drainage,765861,765861,765861,2024-07-13,2025-01-08,completed,Rural Engineering Services (RES),Surya Dev Projects Ltd,REG-MP-883,"46
Chadha Chowk, Warangal, PIN - 462001",SDPL4433Q,18.041565,79.644976,False,False,2024-25
R-UDA-2024-0142,RJ-04,Udaipur,Rajasthan,MP Osha More,water,426850,368627,351472,2024-07-02,2024-06-03,completed,Zila Parishad Engineering Division,National Infra Conclave,REG-DL-990,"H.No. 550
Bhardwaj Road, Udaipur, PIN - 110001",NATIN3322R,24.639989,73.754172,True,True,2024-25
M-AUR-2024-0143,MH-05,Aurangabad,Maharashtra,MP Madhav Kothari,water,585926,575837,543474,2024-02-21,2024-06-07,completed,Municipal Corporation Engineering Cell,Trivedi Ltd Builders,REG-952,"H.No. 904, Badal Nagar, Aurangabad, PIN - 271450",USIAK2819U,19.801912,75.267358,True,True,2024-25
A-SIL-2024-0144,AS-03,Silchar,Assam,MP Daksh Agate,sanitation,526867,526867,526867,2024-01-02,2024-02-16,completed,Municipal Corporation Engineering Cell,Surya Dev Projects Ltd,REG-MP-883,"89/723, Goyal Chowk, Silchar, PIN - 462001",SDPL4433Q,24.826639,92.807392,False,False,2024-25
B-PAT-2023-0145,BR-01,Patna,Bihar,MP Manbir D’Alia,road,2780000,2780000,2724400,2023-12-05,2024-05-27,completed,Zila Parishad Engineering Division,Surya Dev Projects Ltd,REG-MP-883,"058
Vaidya Path, Patna, PIN - 462001",SDPL4433Q,25.516398,85.158826,True,True,2023-24
M-NAS-2023-0146,MH-03,Nashik,Maharashtra,MP Deepa Parsa,sanitation,453215,400227,392400,2023-02-04,,ongoing,Water Supply & Sanitation Board,Chahal PLC Builders,REG-888,"H.No. 171
Pandey Nagar, Nashik, PIN - 436084",AQSBD3458W,20.047343,73.866951,False,False,2023-24
T-NIZ-2023-0147,TS-03,Nizamabad,Telangana,MP Warhi Gill,building,3848673,3848673,3848673,2023-10-06,2024-07-24,completed,Municipal Corporation Engineering Cell,Shree Ram Construction,REG-UP-001,"131
Iyengar Zila, Nizamabad, PIN - 225001",ABCDE1234F,18.618901,78.053083,False,False,2023-24
T-NIZ-2024-0148,TS-03,Nizamabad,Telangana,MP Kavya Kashyap,sanitation,421843,359023,356371,2024-03-01,,stalled,Rural Engineering Services (RES),Bath LLC Builders,REG-454,"H.No. 051, Yohannan Zila, Nizamabad, PIN - 654103",TDNWV5319H,18.659096,78.143286,False,False,2024-25
M-THA-2023-0149,MH-04,Thane,Maharashtra,MP Alexander Nazareth,solar,397947,397947,397947,2023-10-06,2023-12-26,completed,Public Works Department (PWD),Surya Dev Projects Ltd,REG-MP-883,"11
Golla, Thane, PIN - 462001",SDPL4433Q,19.205306,72.987334,False,False,2023-24
UP-AGR-2024-0150,UP-08,Agra,Uttar Pradesh,MP Abhiram Amble,solar,852514,808949,750415,2024-09-17,2024-12-25,completed,Rural Engineering Services (RES),Sarna-Randhawa Builders,REG-841,"38
Sahota, Agra, PIN - 728226",HFSIT9617I,27.224158,78.037739,True,True,2024-25
M-SOL-2024-0151,MH-06,Solapur,Maharashtra,MP Damyanti Samra,drainage,724400,724400,724400,2024-06-20,2024-12-04,completed,Municipal Corporation Engineering Cell,M/s Maa Durga Infrastructure,REG-BR-442,"H.No. 19
Hans Path, Solapur, PIN - 800001",MDUIN9988K,17.605187,75.83105,False,False,2024-25
O-CUT-2024-0152,OD-02,Cuttack,Odisha,MP Dipta Dasgupta,drainage,558578,494067,450101,2024-07-07,2024-12-02,completed,Public Works Department (PWD),Suri and Sons Builders,REG-714,"H.No. 547
Pingle, Cuttack, PIN - 236935",XJYFP8263V,20.420439,85.868815,True,True,2024-25
M-NAG-2024-0153,MH-02,Nagpur,Maharashtra,MP Vasatika Das,building,4131777,4131777,4131777,2024-03-13,2024-12-14,completed,Municipal Corporation Engineering Cell,M/s Maa Durga Infrastructure,REG-BR-442,"085, Edwin Zila, Nagpur, PIN - 800001",MDUIN9988K,21.119543,79.013335,False,False,2024-25
UP-MEE-2024-0154,UP-09,Meerut,Uttar Pradesh,MP Saumya Saraf,sanitation,530736,530736,530736,2024-08-14,2024-10-26,completed,Public Works Department (PWD),Surya Dev Projects Ltd,REG-MP-883,"H.No. 252, Date Nagar, Meerut, PIN - 462001",SDPL4433Q,28.996999,77.714841,False,False,2024-25
WB-DAR-2023-0155,WB-03,Darjeeling,West Bengal,MP Yashodhara Kaur,sanitation,380874,365449,355807,2023-10-16,2023-12-27,completed,Municipal Corporation Engineering Cell,Shree Ram Construction,REG-UP-001,"33/79
Krishnamurthy Road, Darjeeling, PIN - 225001",ABCDE1234F,27.013367,88.279015,True,True,2023-24
WB-HOW-2023-0156,WB-02,Howrah,West Bengal,MP Yauvani Dube,community_hall,3173591,3029186,2755953,2023-07-17,,ongoing,Water Supply & Sanitation Board,Johal-Batta Builders,REG-551,"20/994
Lal Chowk, Howrah, PIN - 594106",TUGGZ7916S,22.529095,88.304093,False,False,2023-24
UP-GOR-2024-0157,UP-07,Gorakhpur,Uttar Pradesh,MP Charvi Dash,road,1877187,1756215,1683096,2024-11-10,,ongoing,Rural Engineering Services (RES),Shree Ram Construction,REG-UP-001,"489, Karpe Circle, Gorakhpur, PIN - 225001",ABCDE1234F,26.804094,83.433072,False,False,2024-25
K-MAN-2024-0158,KA-04,Mangaluru,Karnataka,MP Yashvi Wason,road,1435222,1435222,1435222,2024-12-11,2025-05-15,completed,Water Supply & Sanitation Board,Apex Civil Enterprises,REG-MH-109,"H.No. 11, Ahluwalia Chowk, Mangaluru, PIN - 411001",APXCE7711Z,12.926137,74.809143,False,False,2024-25
O-PUR-2024-0159,OD-03,Puri,Odisha,MP Viraj Dixit,road,1800309,1541300,1443648,2024-01-04,,stalled,Public Works Department (PWD),Bhatnagar Inc Builders,REG-518,"H.No. 435, Saini Road, Puri, PIN - 452027",FLYXQ6195V,19.823221,85.874972,False,False,2024-25
K-BEN-2023-0160,KA-01,Bengaluru Urban,Karnataka,MP Ekani Khosla,sanitation,542161,482579,467147,2023-12-25,2024-02-27,completed,Rural Engineering Services (RES),Sibal-Mukhopadhyay Builders,REG-540,"H.No. 00, Konda Street, Bengaluru Urban, PIN - 243636",OLABW9585E,12.901739,77.569836,True,True,2023-24
B-DAR-2024-0161,BR-05,Darbhanga,Bihar,MP Elijah Madan,drainage,2160000,2160000,2116800,2024-11-23,,ongoing,Zila Parishad Engineering Division,M/s Maa Durga Infrastructure,REG-BR-442,"36/57
Ganesan Road, Darbhanga, PIN - 800001",MDUIN9988K,26.087027,85.955471,False,False,2024-25
B-BHA-2023-0162,BR-04,Bhagalpur,Bihar,MP Nathaniel Pau,road,1156962,1092277,1015071,2023-08-05,2023-07-17,completed,Water Supply & Sanitation Board,Surya Dev Projects Ltd,REG-MP-883,"H.No. 55, Vig Circle, Bhagalpur, PIN - 462001",SDPL4433Q,25.238325,86.971421,False,False,2023-24
G-AHM-2024-0163,GJ-01,Ahmedabad,Gujarat,MP Upadhriti Parikh,water,508223,469050,453376,2024-10-11,,stalled,Public Works Department (PWD),"Dyal, Cheema and Thaman Builders",REG-163,"59/66
Ganesan Zila, Ahmedabad, PIN - 268471",QKJJE0428S,23.013741,72.540053,False,False,2024-25
B-DAR-2023-0164,BR-05,Darbhanga,Bihar,MP Sneha Bhandari,sanitation,694323,654603,599668,2023-03-12,,stalled,Water Supply & Sanitation Board,Shree Ram Construction,REG-UP-001,"98/974, Nath, Darbhanga, PIN - 225001",ABCDE1234F,26.103365,85.839857,False,False,2023-24
R-JOD-2023-0165,RJ-02,Jodhpur,Rajasthan,MP Waida Rana,solar,674241,644621,623061,2023-08-09,2023-07-04,completed,Public Works Department (PWD),M/s Maa Durga Infrastructure,REG-BR-442,"15/73
Sura Street, Jodhpur, PIN - 800001",MDUIN9988K,26.218566,73.030679,True,True,2023-24
WB-KOL-2023-0166,WB-01,Kolkata,West Bengal,MP Aryan Kala,water,731955,693224,644390,2023-01-24,2023-04-19,completed,Water Supply & Sanitation Board,Dhar-Thaker Builders,REG-519,"28/037, Sahota Marg, Kolkata, PIN - 648214",CABWU2222U,22.599302,88.411832,True,True,2023-24
M-PUN-2023-0167,MH-01,Pune,Maharashtra,MP Rachana Shetty,community_hall,4420000,4420000,4331600,2023-05-01,2023-11-10,completed,Zila Parishad Engineering Division,Royal Highway Builders,REG-RJ-551,"558, Chhabra Ganj, Pune, PIN - 302001",RYHB8822P,18.533749,73.812243,True,True,2023-24
G-VAD-2023-0168,GJ-03,Vadodara,Gujarat,MP Anirudh Walla,community_hall,4420000,4420000,4331600,2023-09-13,2024-05-18,completed,Zila Parishad Engineering Division,Apex Civil Enterprises,REG-MH-109,"17/831
Kade Chowk, Vadodara, PIN - 411001",APXCE7711Z,22.250871,73.237809,True,True,2023-24
R-UDA-2024-0169,RJ-04,Udaipur,Rajasthan,MP Girish Kale,water,1208651,1161790,1093896,2024-09-03,,ongoing,Rural Engineering Services (RES),"Sampath, Aurora and Nagy Builders",REG-889,"H.No. 22, Hora Nagar, Udaipur, PIN - 714788",ERSPV5800U,24.531606,73.74898,False,False,2024-25
R-JAI-2024-0170,RJ-01,Jaipur,Rajasthan,MP Kavya Mann,drainage,1070985,976116,967761,2024-02-19,,ongoing,Public Works Department (PWD),Tandon-Kulkarni Builders,REG-604,"994
Yohannan Marg, Jaipur, PIN - 231761",XFBVX3419J,26.92133,75.82094,False,False,2024-25
R-JAI-2024-0171,RJ-01,Jaipur,Rajasthan,MP Andrew Parikh,sanitation,378832,366968,335923,2024-08-18,2024-10-15,completed,Zila Parishad Engineering Division,Ray-Chanda Builders,REG-114,"36/100
Dey Nagar, Jaipur, PIN - 384921",DWOJR7970C,26.852268,75.813846,True,True,2024-25
